Tiempo,Altitud,Acel X,Acel Y,Acel Z,Gyr X,Gyr Y,Gyr Z,Temperatura
2.357604,3.72,12440.00,13152.00,-2672.00,-380.00,255.00,522.00,27.53
2.418618,4.04,13252.00,12216.00,-1792.00,-379.00,549.00,289.00,27.52
2.458634,0.36,12988.00,11844.00,-708.00,-526.00,295.00,-636.00,27.82
2.492634,0.36,13476.00,12240.00,-1104.00,-598.00,62.00,-1429.00,27.82
2.531673,0.26,11192.00,13208.00,-1600.00,-319.00,176.00,-1299.00,27.82
2.554688,-0.77,9464.00,12276.00,-884.00,-137.00,360.00,-1382.00,27.9
2.588696,-0.77,8572.00,12196.00,-1348.00,-317.00,103.00,-665.00,27.9
2.619691,0.19,7732.00,12984.00,-1868.00,-261.00,3.00,191.00,27.82
2.650718,-0.85,9784.00,12620.00,-1120.00,-170.00,361.00,729.00,27.89
2.683725,4.16,11172.00,12384.00,-604.00,-104.00,274.00,1236.00,27.48
2.726871,5.16,10904.00,12140.00,-1432.00,111.00,207.00,1100.00,27.41
2.759879,5.16,11540.00,12240.00,-1732.00,68.00,129.00,1057.00,27.41
2.789887,0.28,11212.00,12496.00,-1912.00,34.00,219.00,1049.00,27.82
2.820893,0.28,11412.00,12352.00,-2012.00,-294.00,442.00,1274.00,27.82
2.853912,4.91,11684.00,12100.00,-1540.00,-449.00,585.00,1080.00,27.44
2.887911,8.61,12404.00,11632.00,-744.00,-388.00,490.00,776.00,27.17
2.919917,9.30,13280.00,11676.00,-876.00,-309.00,205.00,159.00,27.13
2.949934,8.86,12808.00,12036.00,-1928.00,-402.00,309.00,-1163.00,27.15
2.978948,9.49,11312.00,11820.00,-964.00,-523.00,291.00,-1189.00,27.09
3.010955,9.49,10732.00,11808.00,-556.00,-413.00,172.00,-1057.00,27.09
3.041008,6.30,9792.00,12168.00,-320.00,-223.00,161.00,-437.00,27.35
3.072016,7.84,11040.00,12072.00,-1428.00,412.00,29.00,587.00,27.21
3.105023,7.84,12244.00,11912.00,-1948.00,336.00,11.00,579.00,27.21
3.137031,7.57,12608.00,11984.00,-2004.00,-147.00,173.00,211.00,27.26
3.164018,7.57,12880.00,11996.00,-1984.00,-300.00,210.00,70.00,27.26
3.194044,6.76,12296.00,12116.00,-1520.00,-388.00,171.00,-193.00,27.32
4.739812,3.72,12440.00,13152.00,-2672.00,-380.00,255.00,522.00,27.53
4.762817,4.04,13252.00,12216.00,-1792.00,-379.00,549.00,289.00,27.52
4.793825,0.36,12988.00,11844.00,-708.00,-526.00,295.00,-636.00,27.82
4.824831,0.36,13476.00,12240.00,-1104.00,-598.00,62.00,-1429.00,27.82
4.852837,0.26,11192.00,13208.00,-1600.00,-319.00,176.00,-1299.00,27.82
4.879843,-0.77,9464.00,12276.00,-884.00,-137.00,360.00,-1382.00,27.9
4.899849,-0.77,8572.00,12196.00,-1348.00,-317.00,103.00,-665.00,27.9
4.924854,0.19,7732.00,12984.00,-1868.00,-261.00,3.00,191.00,27.82
4.953871,-0.85,9784.00,12620.00,-1120.00,-170.00,361.00,729.00,27.89
4.984867,4.16,11172.00,12384.00,-604.00,-104.00,274.00,1236.00,27.48
5.013874,5.16,10904.00,12140.00,-1432.00,111.00,207.00,1100.00,27.41
5.047882,5.16,11540.00,12240.00,-1732.00,68.00,129.00,1057.00,27.41
5.074888,0.28,11212.00,12496.00,-1912.00,34.00,219.00,1049.00,27.82
5.104896,0.28,11412.00,12352.00,-2012.00,-294.00,442.00,1274.00,27.82
5.132043,4.91,11684.00,12100.00,-1540.00,-449.00,585.00,1080.00,27.44
5.151428,8.61,12404.00,11632.00,-744.00,-388.00,490.00,776.00,27.17
5.173457,9.30,13280.00,11676.00,-876.00,-309.00,205.00,159.00,27.13
5.203458,8.86,12808.00,12036.00,-1928.00,-402.00,309.00,-1163.00,27.15
5.233454,9.49,11312.00,11820.00,-964.00,-523.00,291.00,-1189.00,27.09
5.262477,9.49,10732.00,11808.00,-556.00,-413.00,172.00,-1057.00,27.09
5.292759,6.30,9792.00,12168.00,-320.00,-223.00,161.00,-437.00,27.35
5.322766,7.84,11040.00,12072.00,-1428.00,412.00,29.00,587.00,27.21
5.34978,7.84,12244.00,11912.00,-1948.00,336.00,11.00,579.00,27.21
